,Date,Région,Total énergie soutirée (Wh)
250,2022-08-04,Centre-Val de Loire,14236.952511
251,2022-08-04,Hauts-de-France,27168.229271
252,2022-08-05,Centre-Val de Loire,13986.796105
253,2022-08-05,Hauts-de-France,26697.679975
254,2022-08-06,Centre-Val de Loire,13639.539155
255,2022-08-06,Hauts-de-France,26034.835168
256,2022-08-07,Centre-Val de Loire,13362.552765
257,2022-08-07,Hauts-de-France,25556.686978
258,2022-08-08,Centre-Val de Loire,13507.226061
259,2022-08-08,Hauts-de-France,25807.579537
260,2022-08-09,Centre-Val de Loire,13643.043542
261,2022-08-09,Hauts-de-France,26092.407726
262,2022-08-10,Centre-Val de Loire,13781.022949
263,2022-08-10,Hauts-de-France,26428.47026
264,2022-08-11,Centre-Val de Loire,13895.358949
265,2022-08-11,Hauts-de-France,26665.289233
266,2022-08-12,Centre-Val de Loire,14106.372564
267,2022-08-12,Hauts-de-France,27102.519252
268,2022-08-13,Centre-Val de Loire,13811.792103
269,2022-08-13,Hauts-de-France,26618.625751
270,2022-08-14,Centre-Val de Loire,13155.119857
271,2022-08-14,Hauts-de-France,25403.411636
272,2022-08-15,Centre-Val de Loire,12999.484669
273,2022-08-15,Hauts-de-France,25080.991803
274,2022-08-16,Centre-Val de Loire,13310.896368
275,2022-08-16,Hauts-de-France,25724.41189
276,2022-08-17,Centre-Val de Loire,13118.290668
277,2022-08-17,Hauts-de-France,25384.747984
278,2022-08-18,Centre-Val de Loire,13032.392636
279,2022-08-18,Hauts-de-France,25207.566001
280,2022-08-19,Centre-Val de Loire,13137.599968
281,2022-08-19,Hauts-de-France,25458.544914
282,2022-08-20,Centre-Val de Loire,13196.714823
283,2022-08-20,Hauts-de-France,25596.800851
284,2022-08-21,Centre-Val de Loire,13206.28478
285,2022-08-21,Hauts-de-France,25650.409162
286,2022-08-22,Centre-Val de Loire,13365.288443
287,2022-08-22,Hauts-de-France,26036.472502
288,2022-08-23,Centre-Val de Loire,13580.185277
289,2022-08-23,Hauts-de-France,26489.824898
290,2022-08-24,Centre-Val de Loire,13858.430737
291,2022-08-24,Hauts-de-France,27065.569226
292,2022-08-25,Centre-Val de Loire,13862.185946
293,2022-08-25,Hauts-de-France,27171.981411
294,2022-08-26,Centre-Val de Loire,13813.898605
295,2022-08-26,Hauts-de-France,27066.910339
296,2022-08-27,Centre-Val de Loire,13697.694771
297,2022-08-27,Hauts-de-France,26844.893345
298,2022-08-28,Centre-Val de Loire,13597.885762
299,2022-08-28,Hauts-de-France,26853.053505
300,2022-08-29,Centre-Val de Loire,13820.290342
301,2022-08-29,Hauts-de-France,27309.731778
302,2022-08-30,Centre-Val de Loire,13859.565793
303,2022-08-30,Hauts-de-France,27403.501748
304,2022-08-31,Centre-Val de Loire,13826.961494
305,2022-08-31,Hauts-de-France,27334.184859
306,2022-09-01,Centre-Val de Loire,13756.46057
307,2022-09-01,Hauts-de-France,27295.725661
308,2022-09-02,Centre-Val de Loire,13642.479311
309,2022-09-02,Hauts-de-France,27117.267091
310,2022-09-03,Centre-Val de Loire,13630.734835
311,2022-09-03,Hauts-de-France,27108.736898
312,2022-09-04,Centre-Val de Loire,13633.448796
313,2022-09-04,Hauts-de-France,27233.571088
314,2022-09-05,Centre-Val de Loire,13707.206333
315,2022-09-05,Hauts-de-France,27411.347262
316,2022-09-06,Centre-Val de Loire,13695.434764
317,2022-09-06,Hauts-de-France,27433.05744
318,2022-09-07,Centre-Val de Loire,13761.395965
319,2022-09-07,Hauts-de-France,27645.796908
320,2022-09-08,Centre-Val de Loire,13500.374661
321,2022-09-08,Hauts-de-France,27121.860768
322,2022-09-09,Centre-Val de Loire,13586.54037
323,2022-09-09,Hauts-de-France,27279.53316
324,2022-09-10,Centre-Val de Loire,13614.788358
325,2022-09-10,Hauts-de-France,27422.765057
326,2022-09-11,Centre-Val de Loire,13541.719133
327,2022-09-11,Hauts-de-France,27309.390209
328,2022-09-12,Centre-Val de Loire,13557.124414
329,2022-09-12,Hauts-de-France,27325.122844
330,2022-09-13,Centre-Val de Loire,13657.221694
331,2022-09-13,Hauts-de-France,27664.314972
332,2022-09-14,Centre-Val de Loire,13820.889731
333,2022-09-14,Hauts-de-France,28063.033337
334,2022-09-15,Centre-Val de Loire,13632.614544
335,2022-09-15,Hauts-de-France,27634.087674
336,2022-09-16,Centre-Val de Loire,13650.267131
337,2022-09-16,Hauts-de-France,27660.623439
338,2022-09-17,Centre-Val de Loire,13824.607944
339,2022-09-17,Hauts-de-France,27959.83489
340,2022-09-18,Centre-Val de Loire,13994.399293
341,2022-09-18,Hauts-de-France,28291.127719
342,2022-09-19,Centre-Val de Loire,13905.048646
343,2022-09-19,Hauts-de-France,28089.301732
344,2022-09-20,Centre-Val de Loire,14052.25232
345,2022-09-20,Hauts-de-France,28375.391155
346,2022-09-21,Centre-Val de Loire,14251.358352
347,2022-09-21,Hauts-de-France,28780.859058
348,2022-09-22,Centre-Val de Loire,14136.014891
349,2022-09-22,Hauts-de-France,28535.541363
350,2022-09-23,Centre-Val de Loire,14270.126669
351,2022-09-23,Hauts-de-France,28827.11977
352,2022-09-24,Centre-Val de Loire,14418.249622
353,2022-09-24,Hauts-de-France,29161.642763
354,2022-09-25,Centre-Val de Loire,14596.313774
355,2022-09-25,Hauts-de-France,29509.488872
356,2022-09-26,Centre-Val de Loire,14884.312289
357,2022-09-26,Hauts-de-France,30019.039198
358,2022-09-27,Centre-Val de Loire,15228.927453
359,2022-09-27,Hauts-de-France,30658.249666
360,2022-09-28,Centre-Val de Loire,15535.630782
361,2022-09-28,Hauts-de-France,31289.370532
362,2022-09-29,Centre-Val de Loire,15717.178222
363,2022-09-29,Hauts-de-France,31596.355108
364,2022-09-30,Centre-Val de Loire,16109.128397
365,2022-09-30,Hauts-de-France,32296.340298
366,2022-10-01,Centre-Val de Loire,16243.813029
367,2022-10-01,Hauts-de-France,33365.821364
368,2022-10-02,Centre-Val de Loire,15605.51033
369,2022-10-02,Hauts-de-France,32238.556037
370,2022-10-03,Centre-Val de Loire,15411.740938
371,2022-10-03,Hauts-de-France,31814.611536
372,2022-10-04,Centre-Val de Loire,15469.252908
373,2022-10-04,Hauts-de-France,31945.904145
374,2022-10-05,Centre-Val de Loire,15160.938758
375,2022-10-05,Hauts-de-France,31413.004189
376,2022-10-06,Centre-Val de Loire,14909.692729
377,2022-10-06,Hauts-de-France,30882.491646
378,2022-10-07,Centre-Val de Loire,15270.587202
379,2022-10-07,Hauts-de-France,31608.862107
380,2022-10-08,Centre-Val de Loire,15440.200053
381,2022-10-08,Hauts-de-France,31968.800354
382,2022-10-09,Centre-Val de Loire,15902.50704
383,2022-10-09,Hauts-de-France,32897.001768
384,2022-10-10,Centre-Val de Loire,15415.370414
385,2022-10-10,Hauts-de-France,31960.741924
386,2022-10-11,Centre-Val de Loire,15340.696436
387,2022-10-11,Hauts-de-France,31846.397933
388,2022-10-12,Centre-Val de Loire,15799.448129
389,2022-10-12,Hauts-de-France,32767.802265
390,2022-10-13,Centre-Val de Loire,15792.318714
391,2022-10-13,Hauts-de-France,32712.118903
392,2022-10-14,Centre-Val de Loire,15716.644952
393,2022-10-14,Hauts-de-France,32562.871036
394,2022-10-15,Centre-Val de Loire,15501.561748
395,2022-10-15,Hauts-de-France,32118.736472
396,2022-10-16,Centre-Val de Loire,15332.984115
397,2022-10-16,Hauts-de-France,31806.835481
398,2022-10-17,Centre-Val de Loire,14886.131199
399,2022-10-17,Hauts-de-France,30908.530989
400,2022-10-18,Centre-Val de Loire,14707.517594
401,2022-10-18,Hauts-de-France,30514.828961
